close,high,low,open,volume,returns,range,ma_12,ma_21,hmm,ma_signal,hmm_signal,main_signal,log_returns_benchmark,benchmark_product,benchmark_product_exp,log_returns_strategy,log_returns_product,strategy_product_exp
hbar_usd,hbar_usd,hbar_usd,hbar_usd,hbar_usd,,,,,,,,,,,,,,
0.3480919897556305,0.3741079866886139,0.33814701437950134,0.3626439869403839,299562770,-0.039695896782035556,0.10634715310173837,0.28288891290624935,0.21805585495063237,0,1.0,1,1.0,-0.04050527049722462,1.4595125378443723,3.3038610475380157,-0.04179977850717309,0.7940577924641609,1.2123555164411544
0.3477630019187927,0.3646090030670166,0.3382039964199066,0.3477979898452759,211514005,-0.0009451175164034709,0.07807420056126757,0.2991469129920006,0.2289999028046926,0,1.0,1,1.0,-0.0009455644215708339,1.4585669734228015,3.299793393073821,0.00018404217325214598,0.794241834637413,1.2127627206286289
0.31947198510169983,0.35328999161720276,0.3188770115375519,0.34786200523376465,212419024,-0.0813514280156209,0.10791928810960494,0.3112352453172207,0.23856275918937864,0,1.0,1,1.0,-0.0848516323895123,1.3737153410332892,2.9499990603751334,-0.0844447068878806,0.7097971277495324,1.033578660116489
0.34411001205444336,0.35763999819755554,0.3132779896259308,0.319692999124527,261376909,0.07712108761242509,0.14160589010608482,0.32237524663408595,0.2494527122804097,0,1.0,1,1.0,0.07429182232092456,1.4480071633542138,3.254627283979321,0.07440199675254255,0.784199124502075,1.1906517986518583
0.31801098585128784,0.35701799392700195,0.3092699944972992,0.3443860113620758,260180183,-0.0758450067969143,0.15438936941591908,0.3305200785398483,0.2586376163221541,0,1.0,1,1.0,-0.07887547984571455,1.3691316835084992,2.9319350487075724,-0.0766754595356018,0.7075236649664731,1.0289606461468046
0.3261519968509674,0.3376010060310364,0.30381301045417786,0.3189670145511627,234800289,0.025599779133059775,0.11121312917556758,0.33533291270335513,0.2682884732882182,0,1.0,1,1.0,0.025277591830364477,1.3944092753388637,3.032591717520023,0.021585702356133343,0.7291093673226064,1.0732332958369577
0.30542001128196716,0.34384799003601074,0.2989020049571991,0.3259269893169403,222694462,-0.06356541051157061,0.1503703030872865,0.3382689133286476,0.2767086163872764,0,1.0,1,1.0,-0.06567560525175672,1.328733670087107,2.7762583695703036,-0.06778559805975912,0.6613237692628473,0.9373552490038286
0.30726200342178345,0.3188070058822632,0.2899090051651001,0.30456599593162537,190282258,0.006031013266238672,0.0996795553166967,0.3408653313914935,0.28366109303065706,0,1.0,1,1.0,0.006012899498825211,1.3347465695859322,2.7990330338939264,0.008786924380249077,0.6701106936430964,0.954453654257593
0.34803199768066406,0.3502349853515625,0.3069570064544678,0.30725398659706116,178719317,0.13268804409543278,0.14099036017121946,0.3392890815933545,0.2931344260772069,0,1.0,1,1.0,0.12459360794275606,1.4593401775286883,3.3031192966152494,0.13101527680704655,0.801125970450143,1.2280482331240976
0.3421890139579773,0.3574939966201782,0.3264240026473999,0.3502649962902069,188898821,-0.016788639440124098,0.09518293299754621,0.33425891647736233,0.3025275220473607,1,1.0,1,1.0,-0.0169311661185925,1.4424090114100958,3.230875778276536,-0.022797966543186082,0.7783280039069569,1.1778278999247132
